Datum_avliden;Antal_avlidna
2020-03-11;1
2020-03-12;0
2020-03-13;1
2020-03-14;1
2020-03-15;2
2020-03-16;2
2020-03-17;1
2020-03-18;6
2020-03-19;7
2020-03-20;9
2020-03-21;8
2020-03-22;11
2020-03-23;11
2020-03-24;21
2020-03-25;22
2020-03-26;31
2020-03-27;32
2020-03-28;35
2020-03-29;38
2020-03-30;45
2020-03-31;48
2020-04-01;53
2020-04-02;70
2020-04-03;80
2020-04-04;70
2020-04-05;85
2020-04-06;90
2020-04-07;84
2020-04-08;115
2020-04-09;86
2020-04-10;90
2020-04-11;103
2020-04-12;97
2020-04-13;85
2020-04-14;91
2020-04-15;115
2020-04-16;111
2020-04-17;82
2020-04-18;86
2020-04-19;88
2020-04-20;84
2020-04-21;62
2020-04-22;77
2020-04-23;86
2020-04-24;89
2020-04-25;73
2020-04-26;75
2020-04-27;73
2020-04-28;82
2020-04-29;84
2020-04-30;78
2020-05-01;78
2020-05-02;73
2020-05-03;75
2020-05-04;84
2020-05-05;72
2020-05-06;73
2020-05-07;80
2020-05-08;60
2020-05-09;67
2020-05-10;74
2020-05-11;64
2020-05-12;61
2020-05-13;50
2020-05-14;46
2020-05-15;57
2020-05-16;48
2020-05-17;53
2020-05-18;61
2020-05-19;39
2020-05-20;54
2020-05-21;53
2020-05-22;55
2020-05-23;56
2020-05-24;43
2020-05-25;42
2020-05-26;28
2020-05-27;39
2020-05-28;40
2020-05-29;40
2020-05-30;39
2020-05-31;45
2020-06-01;40
2020-06-02;36
2020-06-03;26
2020-06-04;45
2020-06-05;38
2020-06-06;29
2020-06-07;33
2020-06-08;38
2020-06-09;34
2020-06-10;39
2020-06-11;34
2020-06-12;28
2020-06-13;33
2020-06-14;26
2020-06-15;29
2020-06-16;28
2020-06-17;32
2020-06-18;28
2020-06-19;27
2020-06-20;26
2020-06-21;19
2020-06-22;18
2020-06-23;25
2020-06-24;22
2020-06-25;13
2020-06-26;4
2020-06-27;7
2020-06-28;12
2020-06-29;12
2020-06-30;5
2020-07-01;3
2020-07-02;1
2020-07-03;2
2020-07-04;2
2020-07-05;1
2020-07-06;1
